Certification Name,Issuer,Date Earned,Expiry Date,Reference Number,Document,Vendor
ISO/IEC 27001:2022,TUV Nord Thailand,2025-11-27,2028-11-26,TH-ISMS-2025-0447,chaophrayafintech-iso27001-2025.pdf,Chao Phraya Fintech
ISO/IEC 27001:2022,TUV Nord Thailand,2024-09-06,2027-09-05,TH-ISMS-2024-1130,andamancoast-iso27001-2024.pdf,Andaman Coast Networks
ISO 9001:2015,TUV Nord Thailand,2025-03-15,2028-03-14,TH-QMS-2025-1130,andamancoast-iso9001-2025.pdf,Andaman Coast Networks
ISO 9001:2015,SAI Global Australia,2024-12-19,2027-12-18,AU-QMS-2024-6690,tasmansea-iso9001-2024.pdf,Tasman Sea Consulting
ISO/IEC 27701:2019,SAI Global Australia,2025-07-09,2028-07-08,AU-PIMS-2025-6690,tasmansea-iso27701-2025.pdf,Tasman Sea Consulting
ISO/IEC 27001:2022,SAI Global Australia,2025-05-27,2028-05-26,AU-ISMS-2025-3382,outbackfield-iso27001-2025.pdf,Outback Field Robotics
ISO 9001:2015,SAI Global Australia,2025-12-21,2028-12-20,AU-QMS-2025-3382,outbackfield-iso9001-2025.pdf,Outback Field Robotics
ISO/IEC 27001:2022,Telarc New Zealand,2024-03-15,2027-03-14,NZ-ISMS-2024-2214,aotearoacloud-iso27001-2024.pdf,Aotearoa Cloud Collective
ISO/IEC 20000-1:2018,Telarc New Zealand,2025-06-27,2028-06-26,NZ-ITSM-2025-2214,aotearoacloud-iso20000-2025.pdf,Aotearoa Cloud Collective
ISO/IEC 27001:2022,Schellman & Company,2025-08-01,2028-07-31,US-ISMS-2025-7712,greatplainsdata-iso27001-2025.pdf,Great Plains Data Bureau
ISO 9001:2015,Schellman & Company,2025-11-15,2028-11-14,US-QMS-2025-7712,greatplainsdata-iso9001-2025.pdf,Great Plains Data Bureau
ISO/IEC 20000-1:2018,Schellman & Company,2024-04-28,2027-04-27,US-ITSM-2024-5528,appalachianmanaged-iso20000-2024.pdf,Appalachian Managed IT
ISO/IEC 27001:2022,Schellman & Company,2025-08-13,2028-08-12,US-ISMS-2025-5528,appalachianmanaged-iso27001-2025.pdf,Appalachian Managed IT
ISO 9001:2015,BSI Group Canada,2025-02-04,2028-02-03,CA-QMS-2025-1187,ottawavalley-iso9001-2025.pdf,Ottawa Valley Assurance
ISO/IEC 27701:2019,BSI Group Canada,2025-10-01,2028-09-30,CA-PIMS-2025-1187,ottawavalley-iso27701-2025.pdf,Ottawa Valley Assurance
EN 9100:2018,AFNOR Certification,2024-06-02,2027-06-01,FR-AQMS-2024-4471,loirevalley-en9100-2024.pdf,Loire Valley Engineering
ISO 9001:2015,AFNOR Certification,2025-01-20,2028-01-19,FR-QMS-2025-4471,loirevalley-iso9001-2025.pdf,Loire Valley Engineering
ISO/IEC 27001:2022,AFNOR Certification,2025-09-12,2028-09-11,FR-ISMS-2025-6602,provencecyber-iso27001-2025.pdf,Provence Cyber Atelier
CREST Accredited Penetration Testing,CREST,2025-12-18,2027-12-17,CREST-PT-FR-6602,provencecyber-crest-pt-2025.pdf,Provence Cyber Atelier
ISO/IEC 27001:2022,SIQ Slovenia,2024-11-08,2027-11-07,SI-ISMS-2024-2298,karstplateau-iso27001-2024.pdf,Karst Plateau Software
ISO 9001:2015,SIQ Slovenia,2025-05-30,2028-05-29,SI-QMS-2025-2298,karstplateau-iso9001-2025.pdf,Karst Plateau Software
ISO/IEC 27001:2022,EOS Egypt,2025-01-16,2028-01-15,EG-ISMS-2025-3312,sinaipeninsula-iso27001-2025.pdf,Sinai Peninsula Networks
ISO 9001:2015,EOS Egypt,2025-08-04,2028-08-03,EG-QMS-2025-3312,sinaipeninsula-iso9001-2025.pdf,Sinai Peninsula Networks
ISO 9001:2015,ZABS Zambia,2024-07-25,2027-07-24,ZM-QMS-2024-1189,zambezibasin-iso9001-2024.pdf,Zambezi Basin Analytics
ISO/IEC 27001:2022,ZABS Zambia,2025-02-27,2028-02-26,ZM-ISMS-2025-1189,zambezibasin-iso27001-2025.pdf,Zambezi Basin Analytics
PCI DSS Level 1 Service Provider,ControlCase LatAm,2025-10-30,2026-10-29,PCI-L1-BR-2025-0668,guanabarafintech-pcidss-l1-2025.pdf,Guanabara Fintech Labs
ISO/IEC 27001:2022,ABNT Brazil,2025-06-08,2028-06-07,BR-ISMS-2025-0668,guanabarafintech-iso27001-2025.pdf,Guanabara Fintech Labs
ISO/IEC 27001:2022,INN Chile,2024-05-14,2027-05-13,CL-ISMS-2024-4482,patagoniafield-iso27001-2024.pdf,Patagonia Field Networks
ISO 9001:2015,INN Chile,2025-09-19,2028-09-18,CL-QMS-2025-4482,patagoniafield-iso9001-2025.pdf,Patagonia Field Networks
ISO/IEC 27001:2022,TSE Turkiye,2025-03-21,2028-03-20,TR-ISMS-2025-5581,goldenhorncloud-iso27001-2025.pdf,Golden Horn Cloud
ISO/IEC 20000-1:2018,TSE Turkiye,2025-11-08,2028-11-07,TR-ITSM-2025-5581,goldenhorncloud-iso20000-2025.pdf,Golden Horn Cloud
ISO 9001:2015,Bureau Veritas Taiwan,2024-08-13,2027-08-12,TW-QMS-2024-3390,jademountain-iso9001-2024.pdf,Jade Mountain Robotics
ISO/IEC 27001:2022,Bureau Veritas Taiwan,2025-03-09,2028-03-08,TW-ISMS-2025-3390,jademountain-iso27001-2025.pdf,Jade Mountain Robotics
ISO/IEC 27001:2022,SIRIM QAS International,2025-04-28,2028-04-27,MY-ISMS-2025-8814,coraltriangle-iso27001-2025.pdf,Coral Triangle Data
ISO 9001:2015,SIRIM QAS International,2025-10-13,2028-10-12,MY-QMS-2025-8814,coraltriangle-iso9001-2025.pdf,Coral Triangle Data
ISO 9001:2015,Telarc New Zealand,2024-10-19,2027-10-18,NZ-QMS-2024-6602,wellingtonharbour-iso9001-2024.pdf,Wellington Harbour Advisory
ISO/IEC 27701:2019,Telarc New Zealand,2025-01-25,2028-01-24,NZ-PIMS-2025-6602,wellingtonharbour-iso27701-2025.pdf,Wellington Harbour Advisory
ISO/IEC 20000-1:2018,BSI Group Canada,2026-02-01,2029-01-31,CA-ITSM-2026-0091,mapleridgeit-iso20000-2026.pdf,Maple Ridge IT Systems
ISO/IEC 27001:2022,BSI Group Canada,2026-05-12,2029-05-11,CA-ISMS-2026-0134,mapleridgeit-iso27001-2026.pdf,Maple Ridge IT Systems
ISO/IEC 27001:2022,Hong Kong Quality Assurance Agency,2026-03-10,2029-03-09,HK-ISMS-2026-0044,vpadvisorygroup-iso27001-2026.pdf,Victoria Peak Advisory Group
ISO 9001:2015,Hong Kong Quality Assurance Agency,2026-06-01,2029-05-31,HK-QMS-2026-0098,vpadvisorygroup-iso9001-2026.pdf,Victoria Peak Advisory Group
ISO 9001:2015,TUV Nord Thailand,2026-01-18,2029-01-17,TH-QMS-2026-0067,siamintegrationgroup-iso9001-2026.pdf,Siam Integration Group
ISO/IEC 27001:2022,TUV Nord Thailand,2026-03-05,2029-03-04,TH-ISMS-2026-0071,siamintegrationgroup-iso27001-2026.pdf,Siam Integration Group
EN 9100:2018,AFNOR Certification,2026-02-22,2029-02-21,FR-AQMS-2026-0098,lumiereingenierie-en9100-2026.pdf,Lumière Ingénierie
ISO/IEC 27001:2022,AFNOR Certification,2026-05-20,2029-05-19,FR-ISMS-2026-0145,lumiereingenierie-iso27001-2026.pdf,Lumière Ingénierie
ISO/IEC 27001:2022,NSAI,2026-04-01,2029-03-31,IE-ISMS-2026-0112,shannoncloud-iso27001-2026.pdf,Shannon Cloud
ISO/IEC 27701:2019,NSAI,2026-07-15,2029-07-14,IE-PIMS-2026-0167,shannoncloud-iso27701-2026.pdf,Shannon Cloud
