Vendor Name,Legal Name,Website Domain,Business Domains,Capabilities,Industry,Country,HQ Location,Regional Operating Capacity,Headcount,Vendor Status,Has Active Contract,Source,Overview,AI Extracted,Source Citations
Halong Bay Cloud Works,Halong Bay Cloud Works JSC,halongbaycloudworks.vn,Telecommunications;Retail & Consumer,Cloud Migration;Managed Services,Information Technology,Vietnam,Haiphong,Vietnam;China,210,Potential,False,External Discovery,"Haiphong cloud provider serving telecom and retail clients across northern Vietnam.",True,"[""https://halongbaycloudworks.vn/en"",""https://www.linkedin.com/company/halong-bay-cloud-works""]"
Chao Phraya Fintech,Chao Phraya Fintech Co Ltd,chaophrayafintech.co.th,Financial Services,Application Development;Machine Learning,Financial Technology,Thailand,Bangkok,Thailand;Laos;Cambodia,260,Registered,False,Manual Registration,"Bangkok fintech studio building microlending scoring models for Mekong region lenders.",False,
Andaman Coast Networks,Andaman Coast Networks Co Ltd,andamancoastnetworks.co.th,Transport & Logistics;Energy & Utilities,Network Infrastructure;Integration & APIs,Engineering Services,Thailand,Phuket,Thailand;Myanmar,120,Potential,False,External Discovery,"Phuket engineering firm connecting offshore energy platforms and coastal logistics networks.",True,"[""https://andamancoastnetworks.co.th/services"",""https://www.linkedin.com/company/andaman-coast-networks""]"
Tasman Sea Consulting,Tasman Sea Consulting Pty Ltd,tasmanseaconsulting.com.au,Public Sector;Financial Services,Change Management;Data Governance,Consulting,Australia,Melbourne,Australia;New Zealand,380,Registered,False,Manual Registration,"Melbourne advisory practice guiding regulatory change programmes for trans-Tasman institutions.",False,
Outback Field Robotics,Outback Field Robotics Pty Ltd,outbackfieldrobotics.com.au,Manufacturing;Energy & Utilities,RPA;Application Development,Information Technology,Australia,Perth,Australia,210,Potential,False,External Discovery,"Perth automation vendor deploying remote-operations robotics software for mining and energy sites.",True,"[""https://outbackfieldrobotics.com.au/about"",""https://www.crunchbase.com/organization/outback-field-robotics""]"
Aotearoa Cloud Collective,Aotearoa Cloud Collective Ltd,aotearoacloud.co.nz,Retail & Consumer;Public Sector,Cloud Migration;Managed Services,Information Technology,New Zealand,Wellington,New Zealand;Australia,160,Registered,False,Manual Registration,"Wellington cloud provider migrating retail and government workloads to sovereign cloud regions.",False,
Great Plains Data Bureau,Great Plains Data Bureau LLC,greatplainsdatabureau.com,Public Sector;Energy & Utilities,Data Engineering;Business Intelligence,Professional Services,United States,Omaha,United States,180,Potential,False,External Discovery,"Omaha analytics bureau supporting agricultural and utilities data modernisation for Midwest agencies.",True,"[""https://greatplainsdatabureau.com/about"",""https://www.linkedin.com/company/great-plains-data-bureau""]"
Appalachian Managed IT,Appalachian Managed IT LLC,appalachianmanagedit.com,Healthcare;Public Sector,Managed Services;Cybersecurity Operations,Information Technology,United States,Charlotte,United States,290,Registered,False,Manual Registration,"Charlotte managed services provider running SOC coverage for regional hospital networks.",False,
Ottawa Valley Assurance,Ottawa Valley Assurance Inc,ottawavalleyassurance.ca,Public Sector;Financial Services,Data Governance;Change Management,Consulting,Canada,Ottawa,Canada,150,Potential,False,External Discovery,"Ottawa advisory firm supporting federal agency data governance modernisation.",True,"[""https://ottawavalleyassurance.ca/about"",""https://www.linkedin.com/company/ottawa-valley-assurance""]"
Loire Valley Engineering,Loire Valley Engineering SAS,loirevalleyengineering.fr,Aviation;Manufacturing,Application Development;Site Reliability Engineering,Engineering Services,France,Nantes,France;Spain,340,Registered,False,Manual Registration,"Nantes engineering firm supporting aerospace supplier software assurance programmes.",False,
Provence Cyber Atelier,Provence Cyber Atelier SAS,provencecyberatelier.fr,Public Sector;Energy & Utilities,Cybersecurity Operations;Penetration Testing,Cybersecurity,France,Marseille,France;Monaco,130,Potential,False,External Discovery,"Marseille security atelier testing energy and port authority systems along the Mediterranean coast.",True,"[""https://provencecyberatelier.fr/services"",""https://www.linkedin.com/company/provence-cyber-atelier""]"
Karst Plateau Software,Karst Plateau Software d.o.o.,karstplateausoftware.si,Public Sector;Manufacturing,Application Development;Integration & APIs,Information Technology,Slovenia,Ljubljana,Slovenia;Croatia;Austria,95,Registered,False,Manual Registration,"Ljubljana software vendor connecting manufacturing ERP systems for Alpine-Adriatic clients.",False,
Sinai Peninsula Networks,Sinai Peninsula Networks LLC,sinaipeninsulanetworks.com.eg,Energy & Utilities;Transport & Logistics,Network Infrastructure;Managed Services,Telecommunications,Egypt,Suez,Egypt,175,Potential,False,External Discovery,"Suez-based network operator maintaining canal logistics and energy pipeline connectivity.",True,"[""https://sinaipeninsulanetworks.com.eg/en/about"",""https://www.linkedin.com/company/sinai-peninsula-networks""]"
Zambezi Basin Analytics,Zambezi Basin Analytics Ltd,zambezibasinanalytics.co.zm,Energy & Utilities;Public Sector,Data Engineering;Business Intelligence,Professional Services,Zambia,Lusaka,Zambia;Zimbabwe,90,Registered,False,Manual Registration,"Lusaka analytics boutique supporting hydropower and agricultural ministry reporting.",False,
Guanabara Fintech Labs,Guanabara Fintech Labs Ltda,guanabarafintechlabs.com.br,Financial Services,Application Development;Machine Learning,Financial Technology,Brazil,Rio de Janeiro,Brazil;Uruguay,260,Potential,False,External Discovery,"Rio fintech studio building credit-risk models for regional digital banks.",True,"[""https://guanabarafintechlabs.com.br/sobre"",""https://www.crunchbase.com/organization/guanabara-fintech-labs""]"
Patagonia Field Networks,Patagonia Field Networks SA,patagoniafieldnetworks.cl,Energy & Utilities;Transport & Logistics,Network Infrastructure;Integration & APIs,Engineering Services,Chile,Punta Arenas,Chile;Argentina,70,Registered,False,Manual Registration,"Punta Arenas engineering firm maintaining remote-region energy and logistics connectivity.",False,
Golden Horn Cloud,Golden Horn Cloud A.S.,goldenhorncloud.com.tr,Retail & Consumer;Telecommunications,Cloud Migration;Managed Services,Information Technology,Turkiye,Izmir,Turkiye;Greece,220,Potential,False,External Discovery,"Izmir cloud provider serving retail chains and telecom operators across the Aegean region.",True,"[""https://goldenhorncloud.com.tr/hakkinda"",""https://www.linkedin.com/company/golden-horn-cloud""]"
Jade Mountain Robotics,Jade Mountain Robotics Co Ltd,jademountainrobotics.tw,Manufacturing,RPA;Machine Learning,Information Technology,Taiwan,Taichung,Taiwan;China,480,Registered,False,Manual Registration,"Taichung automation vendor deploying precision-manufacturing robotics orchestration.",False,
Coral Triangle Data,Coral Triangle Data Sdn Bhd,coraltriangledata.my,Energy & Utilities;Transport & Logistics,Data Engineering;Business Intelligence,Professional Services,Malaysia,Kuching,Malaysia;Brunei;Indonesia,105,Potential,False,External Discovery,"Kuching analytics boutique supporting offshore energy and maritime logistics reporting in Borneo waters.",True,"[""https://coraltriangledata.my/about"",""https://www.linkedin.com/company/coral-triangle-data""]"
Wellington Harbour Advisory,Wellington Harbour Advisory Ltd,wellingtonharbouradvisory.co.nz,Public Sector;Financial Services,Data Governance;Change Management;Business Intelligence,Consulting,New Zealand,Wellington,New Zealand,130,Registered,False,Manual Registration,"Wellington advisory firm supporting public-sector financial reporting modernisation.",False,
Maple Ridge IT Systems,Maple Ridge Systems Corporation,mapleridgesystems.ca,Public Sector;Healthcare,ERP Implementation;Change Management;Managed Services,Professional Services,Canada,Toronto,Canada;United States,980,Potential,False,External Discovery,"Toronto-based ERP and finance transformation specialist recently identified through external market scanning, offering a bilingual service desk for public-sector clients.",True,"[""https://mapleridgesystems.ca/services"",""https://www.linkedin.com/company/maple-ridge-it-systems""]"
Victoria Peak Advisory Group,Victoria Peak Advisory (HK) Ltd,vpadvisory.hk,Financial Services,Data Governance;Business Intelligence;Change Management,Consulting,Hong Kong SAR,Hong Kong,Hong Kong SAR;Singapore,195,Registered,False,External Discovery,"Regional data governance and regulatory reporting advisory practice based in Hong Kong, newly profiled through external discovery.",True,"[""https://vpadvisory.hk/about"",""https://www.linkedin.com/company/victoria-peak-advisory-group""]"
Siam Integration Group,Siam Integration Public Co Ltd,siamintegration.co.th,Manufacturing;Retail & Consumer,Network Infrastructure;Integration & APIs;Managed Services,Engineering Services,Thailand,Bangkok,Thailand;Vietnam,560,Potential,False,Manual Registration,"Bangkok industrial systems integrator connecting plant-floor OT with enterprise IT, re-identified via manual registration with an expanded network infrastructure practice.",False,
Lumière Ingénierie,Lumiere Ingenierie SAS,lumiere-ing.fr,Aviation;Manufacturing,Site Reliability Engineering;DevOps Automation;Application Development,Engineering Services,France,Toulouse,France;Spain,1120,Registered,False,External Discovery,"Toulouse aerospace software engineering firm with safety-critical development experience, surfaced again through external market discovery.",True,"[""https://lumiere-ing.fr/en/about"",""https://www.linkedin.com/company/lumiere-ingenierie""]"
Shannon Cloud,Shannon Cloud Group Designated Activity Company,shannoncloud.ie,Healthcare;Financial Services,Cloud Migration;Cybersecurity Operations;Identity & Access Management,Information Technology,Ireland,Dublin,Ireland;United Kingdom,485,Potential,False,External Discovery,"Dublin-based GDPR-aligned cloud and identity modernisation provider, freshly discovered through external vendor scanning.",True,"[""https://shannoncloud.ie/services"",""https://www.linkedin.com/company/shannon-cloud""]"
